id,first_name,last_name,hired,position,benefited,licence_expiration,department,Pay_status
44-382-2499,Ingaberg,Zahor,12/12/2001,Finance,false,11/5/2022,Custodial,full-time
91-471-6377,Jed,Lowerson,6/11/2015,Doctor,true,12/20/2029,Medical,part-time
35-550-0099,Theodoric,Keslake,7/16/2014,Doctor,true,,Admininstrative,full-time
58-185-2572,Urbanus,Grinnov,1/12/1999,Receptionist,true,,Medical,temporary
60-786-3941,Violette,Hall-Gough,2/24/2014,Doctor,false,3/18/2024,Billing,temporary
08-638-4671,Kippie,Bickerstasse,9/19/2018,Finance,true,,Medical,full-time
38-190-6696,Frankie,Prester,6/9/2021,Lab,true,,Medical,part-time
68-509-2449,Britney,Kassel,2/13/2014,Assistant,false,12/1/2027,Caretaker,part-time
18-137-1335,Melonie,Besantie,6/23/2003,Assistant,true,1/28/2027,Billing,seasonal
11-244-8705,Garry,Jiruca,10/11/2019,Management,false,6/18/2023,Custodial,full-time
03-991-7178,Arvin,Whitlock,3/9/2013,Finance,false,9/14/2023,Admininstrative,temporary
09-692-5438,Farris,Bromilow,2/13/2002,Lab,false,10/10/2027,Caretaker,full-time
12-253-9361,Jeane,Izakson,10/4/2021,Management,false,8/22/2026,Custodial,part-time
67-908-8782,Lenore,Tweed,7/3/2022,Lab,true,6/23/2030,Billing,seasonal
48-770-5994,Reg,Dicty,3/9/2011,Assistant,true,,Admininstrative,temporary
85-746-9133,Arielle,Gaenor,2/2/2009,Tech,false,,Custodial,seasonal
39-337-8036,Pavel,Mugglestone,8/20/1999,Doctor,true,1/8/2024,Admininstrative,full-time
95-293-7179,Arnaldo,Jain,7/9/2005,Cleaner,false,12/20/2022,Billing,part-time
54-233-5901,Wyatt,Faudrie,4/9/2020,Cleaner,true,2/11/2027,Billing,seasonal
17-689-8167,Rochester,Tout,6/14/2001,Lab,false,9/19/2022,Medical,part-time
23-835-5396,Belia,Tellett,6/19/2022,Doctor,false,6/22/2025,Medical,part-time
56-095-5394,Clarita,Kimblen,8/29/2017,Finance,true,,Billing,part-time
34-560-4013,Peirce,Fumagall,10/15/2001,Lab,true,4/27/2027,Medical,full-time
96-237-6163,Benjy,Poulgreen,12/8/2008,Receptionist,true,,Custodial,full-time
63-947-1285,Rosy,Linebarger,8/5/2019,Assistant,false,,Medical,seasonal
74-110-6014,Jeanine,Riall,9/4/2013,Doctor,false,1/27/2022,Medical,seasonal
01-439-0017,Wylie,Linbohm,10/16/2019,Receptionist,true,,Billing,part-time
10-780-3587,Ambros,Toffoletto,4/11/2002,Cleaner,false,,Custodial,full-time
98-693-8484,Andy,Brome,9/5/2015,Lab,false,7/4/2024,Billing,temporary
11-074-4751,Donelle,Hellmore,6/7/2022,Doctor,false,10/19/2027,Billing,temporary
22-270-9875,Ronalda,Rambaut,5/15/2014,Doctor,false,11/21/2023,Caretaker,seasonal
62-675-4192,Horatio,Schneidar,8/6/2009,Doctor,true,6/7/2027,Admininstrative,seasonal
44-508-4442,Kerianne,Antuk,6/12/2016,Cleaner,false,2/10/2023,Medical,seasonal
25-235-1996,Rowan,Emslie,6/22/2002,Cleaner,true,5/10/2026,Billing,full-time
76-717-7835,Gussi,Lattos,8/28/2007,Assistant,true,,Custodial,part-time
24-199-4271,Mikel,MacPadene,6/23/2010,Assistant,false,4/10/2026,Medical,seasonal
06-568-6125,Belle,Casassa,9/27/2002,Tech,false,6/22/2026,Custodial,temporary
08-522-9448,Cosimo,Chastenet,9/4/2013,Cleaner,false,,Admininstrative,temporary
44-514-5362,Nikolaos,Jefford,1/7/2021,Receptionist,false,5/16/2028,Custodial,part-time
86-042-2258,Eustacia,Murrish,12/15/2018,Lab,false,1/28/2023,Billing,seasonal
03-716-4593,Flory,Boness,4/14/2011,Lab,false,,Billing,temporary
72-906-6662,Sheba,De Paoli,11/7/2013,Assistant,false,,Medical,temporary
92-467-1126,Perceval,Keal,6/19/2018,Finance,false,2/3/2027,Admininstrative,temporary
00-723-7601,Lion,Hubane,4/11/2010,Tech,false,12/25/2029,Admininstrative,part-time
39-287-3368,Lock,Deinert,2/7/2001,Management,true,6/6/2025,Admininstrative,full-time
99-046-3501,Estell,Rummins,12/21/2006,Assistant,false,,Medical,part-time
24-561-8491,Gilbertina,Stoak,3/18/2018,Management,false,6/26/2025,Caretaker,full-time
94-926-6869,Zonda,Gumey,2/15/2002,Cleaner,false,,Admininstrative,temporary
19-242-7520,Urbano,Ayton,12/3/2002,Management,false,6/27/2027,Caretaker,temporary
23-036-3562,Imogen,Goldman,10/20/2001,Lab,false,3/8/2024,Custodial,full-time
10-023-2885,Ophelia,Blazej,5/1/2000,Assistant,true,9/17/2028,Custodial,full-time
70-566-1578,Dalston,O'Cooney,3/9/2006,Assistant,true,3/29/2025,Custodial,temporary
61-007-2259,Gill,Biggam,10/27/2019,Management,true,,Admininstrative,seasonal
53-582-7281,Vlad,Cornelius,8/4/2003,Management,false,11/3/2025,Custodial,full-time
94-162-2519,Nan,Luebbert,3/17/2017,Management,false,5/9/2030,Custodial,full-time
76-789-2197,John,Worge,3/31/2021,Lab,false,10/2/2026,Medical,temporary
74-216-3334,Dyane,Pywell,4/14/2015,Tech,true,11/22/2024,Admininstrative,full-time
10-582-6096,Craggie,Manby,9/26/2016,Management,false,,Medical,temporary
51-939-2618,Melitta,Gregon,7/25/1999,Receptionist,false,5/21/2029,Custodial,seasonal
29-238-0206,Norine,Siggery,2/25/2005,Assistant,true,11/9/2023,Billing,full-time
49-090-2826,Erena,Crossley,7/19/2017,Lab,false,1/27/2030,Medical,seasonal
07-333-9022,Smitty,Fields,10/9/2003,Tech,true,11/2/2024,Billing,full-time
83-880-8231,Carmita,Hollington,10/16/2015,Tech,true,4/1/2029,Caretaker,part-time
75-096-1664,Aldous,Moye,10/5/2002,Assistant,true,5/1/2024,Admininstrative,seasonal
42-642-5952,Susannah,Ivanyushkin,9/28/2016,Tech,true,5/14/2025,Admininstrative,part-time
41-309-1203,Harwilll,Carnegy,8/12/2015,Doctor,false,12/10/2027,Medical,part-time
88-567-0407,Gerda,Woodhams,3/22/2020,Receptionist,false,,Admininstrative,part-time
00-192-3152,Claudio,Glinde,10/27/2020,Lab,true,10/27/2028,Medical,seasonal
