owner_id,first_name,last_name,email,phone,address1,address2,address3,address4,patient_id1,patient_id2,patient_id3,patient_id4,patient_id5,patient_id6,total_dogs,billing
10-775-9996,Elfrieda,Whiteway,,609-799-7493,22868 Sutherland Way,Trenton,NJ,8619,01-184-0883,35-449-4892,,,,,1,overdue 30+
03-467-2671,Wenona,Huitt,whuitt1@salon.com,623-229-5362,0 Utah Drive,Phoenix,AZ,85020,69-057-6396,10-195-6229,,,,,3,overdue
34-783-5314,Ianthe,Swane,iswane2@mediafire.com,717-771-4590,0 Holy Cross Street,Lancaster,PA,17622,47-252-5793,09-141-9431,,,27-853-0555,,1,paid
38-823-9720,Kristien,Fandrey,kfandrey3@youtube.com,701-513-9208,20422 Barby Way,Fargo,ND,58106,24-584-3911,52-620-2442,99-312-0325,,,,4,due
97-050-9880,Conny,Richie,,205-581-8285,4474 Shoshone Point,Birmingham,AL,35220,02-375-1330,20-691-0568,,,,,6,overdue
13-324-4753,Marybelle,Unsworth,munsworth5@elpais.com,937-455-0631,31 Sachtjen Alley,Dayton,OH,45454,89-439-3109,23-338-6706,,18-343-1394,77-191-4858,,6,overdue 30+
94-748-7889,Lizbeth,Revan,,814-809-0308,28 Straubel Circle,Erie,PA,16550,15-272-0595,51-990-5828,,42-103-6857,,,3,blocked
42-397-0445,Ange,Maffucci,amaffucci7@biblegateway.com,954-424-1493,3046 Arapahoe Junction,Hollywood,FL,33023,03-431-1312,83-372-8237,36-236-6910,,,,4,due
80-794-5343,Rafaelita,Pennell,,361-240-3005,14 Briar Crest Terrace,Corpus Christi,TX,78415,60-802-5945,,76-261-1690,12-885-9449,,,1,overdue
29-534-8254,Adela,Naldrett,analdrett9@cnet.com,281-473-0419,4635 Bonner Street,Houston,TX,77035,44-279-5311,19-230-5195,,80-684-4609,,,2,paid
51-872-5308,Vere,Gripton,vgriptona@answers.com,515-732-4497,3 Pawling Junction,Des Moines,IA,50305,09-231-0752,,,64-240-2080,,06-804-0323,5,paid
15-310-4471,Ulrick,Grimsdell,,816-204-6170,92415 Rieder Circle,Kansas City,MO,64149,51-381-9972,32-284-0644,,,54-320-0154,12-131-5151,1,due
62-722-7695,Julita,Ellerby,,480-119-6258,9740 Loomis Point,Chandler,AZ,85246,15-882-2709,01-936-5923,10-802-4644,00-739-5709,,,5,overdue 30+
89-825-6375,Nathanial,Budgey,nbudgeyd@tuttocitta.it,617-387-1228,34729 Dottie Hill,Lynn,MA,1905,39-054-4756,36-518-2344,,10-023-0154,33-221-3703,,5,overdue 30+
53-144-9577,Shirley,Rickard,,585-257-8705,6 International Place,Rochester,NY,14619,24-180-7990,41-412-4250,,,,42-938-5519,6,overdue
02-088-5986,Lulu,Wolsey,,937-422-2396,7 Thierer Trail,Dayton,OH,45408,86-368-5750,55-789-9961,61-514-2292,,,,1,overdue 30+
50-260-9586,Harrison,Di Claudio,,317-813-6760,6152 Barnett Drive,Indianapolis,IN,46247,52-364-7208,38-134-7177,,,,,2,overdue 60+
75-021-6514,Kent,Chaters,,714-299-0970,4113 Knutson Way,Fullerton,CA,92835,90-811-1896,94-360-8961,87-506-6356,,,,1,paid
81-826-1086,Rodina,Callister,,323-218-2294,35 Kingsford Parkway,Los Angeles,CA,90060,36-920-7411,41-426-2591,89-945-6861,,,,4,paid
79-272-7668,Jorie,Jeckell,jjeckellj@hostgator.com,949-239-9891,4 Elka Place,Orange,CA,92867,31-296-6630,91-720-1190,,90-152-1006,26-495-2554,,2,overdue 30+
59-645-1858,Robbie,Meugens,,316-519-8295,25644 Manufacturers Center,Wichita,KS,67236,58-214-1018,64-464-4149,67-533-9758,72-328-3727,,,2,due
68-360-6065,Mercie,Jerger,,904-349-7537,9 Pepper Wood Junction,Jacksonville,FL,32230,62-988-5442,94-814-5068,,58-712-9662,,,6,overdue 30+
90-826-0895,Tabbatha,Goodban,,914-872-3999,160 Fairview Road,Staten Island,NY,10310,48-588-1079,01-588-5348,,,52-766-6041,,3,overdue
98-847-1416,Penelope,Collinette,pcollinetten@statcounter.com,212-820-3677,26943 Derek Junction,New York City,NY,10115,94-554-2258,66-475-1850,92-796-7283,,,,2,overdue 60+
04-892-2590,Stearn,Gooderick,,202-730-6644,4 Di Loreto Road,Washington,DC,20057,49-134-5648,86-133-8759,,34-432-5992,,,1,due
78-786-5177,Gabi,Coolbear,,954-522-4229,28457 Spaight Lane,Fort Lauderdale,FL,33315,22-211-6604,65-737-4741,00-404-7788,,68-534-1476,,5,overdue
88-027-1740,Michail,Ranvoise,mranvoiseq@4shared.com,386-648-5775,86463 Northport Way,Daytona Beach,FL,32128,74-746-0685,79-553-7008,,,,,6,overdue 30+
20-012-5264,Roz,Moughtin,,215-159-2490,083 Anhalt Hill,Philadelphia,PA,19093,52-422-7803,03-292-1351,44-802-8377,,,,6,paid
33-601-6138,Frieda,Keynd,,540-144-7221,842 Corben Place,Roanoke,VA,24040,07-441-4483,56-119-6109,,,,,5,overdue 60+
32-609-9564,Maxwell,Barbey,,325-348-9846,658 Charing Cross Terrace,Abilene,TX,79699,86-957-0666,93-063-7566,,76-329-2724,,,6,due
27-880-6854,Manny,Chaff,,315-529-9433,971 Sycamore Place,Syracuse,NY,13205,58-212-3433,27-940-3026,,,57-081-7730,,6,paid
07-928-7375,Darsey,Ingilson,,509-991-1010,5 Scoville Way,Spokane,WA,99210,44-401-3360,71-300-5316,,13-360-0040,,,5,blocked
10-061-5762,Elora,Jozwik,,864-786-6944,5117 Loeprich Crossing,Anderson,SC,29625,53-879-8821,,13-543-7934,33-252-3767,98-923-0628,,3,overdue
19-511-3745,Dunn,Cowitz,,713-987-6710,2 Schiller Hill,Houston,TX,77288,35-420-4259,25-218-6073,67-180-1627,,,,1,due
90-446-9606,Neysa,Orrom,,334-659-6162,5 Mesta Pass,Montgomery,AL,36104,08-725-1032,,42-485-0239,56-166-1870,70-549-8750,,3,overdue 60+
73-928-8170,Sherwood,De Bell,,603-472-5178,4047 Anniversary Junction,Portsmouth,NH,214,21-887-1819,82-975-1624,,,69-412-4621,,6,due
50-149-8667,Philbert,Jonin,pjonin10@vk.com,317-103-4006,4148 Spohn Crossing,Indianapolis,IN,46216,54-802-7772,92-653-0983,66-141-1762,,,,6,due
20-213-1078,Olivia,Catterall,,408-151-9778,82989 Buhler Hill,San Jose,CA,95155,66-943-0012,82-466-5569,,,,,6,due
28-599-4649,Maible,Altham,,772-309-5263,6263 Merrick Plaza,Fort Pierce,FL,34949,86-988-4992,32-378-5126,,,,,5,blocked
94-677-5905,Maria,Mapledorum,,518-411-8074,2231 Crescent Oaks Terrace,Schenectady,NY,12325,08-913-8277,45-173-8980,,,89-021-6618,,3,paid
35-878-4142,Osborn,Roumier,oroumier14@ning.com,716-629-6165,6645 Delladonna Point,Buffalo,NY,14210,66-795-6340,93-899-8467,08-291-8418,,50-850-9350,,1,overdue 30+
48-318-6664,Orella,Comizzoli,,616-893-6214,021 Jenifer Parkway,Grand Rapids,MI,49544,91-164-9662,49-874-3136,45-859-6932,,,,1,paid
05-110-6249,Riva,Lissandri,,806-344-0214,13 Maryland Terrace,Lubbock,TX,79405,78-902-5422,,,,03-667-8128,,2,overdue
